English_name,sumWeeklyHealthHours,SumPopulation,SumPopulation_CompletedFromExternalData,NumberOfCities_smaller35km,Jewish_precent,Arab_precent,Jewish_Arabs_precent_CompletedFromExternalData,precentPopulation_over20,ClalitPrecent_fromTatal,ClalitPrecent_fromTatal_CompletedFromExternalData,MacabiPrecent_fromTatal,MacabiPrecent_fromTatal_CompletedFromExternalData,MeuhedetPrecent_fromTatal,MeuhedetPrecent_fromTatal_CompletedFromExternalData,LeumitPrecent_fromTatal,LeumitPrecent_fromTatal_CompletedFromExternalData,SocioeconomicStatusֹ,SocioeconomicStatusֹ_CompletedFromExternalData,periphery,Jerusalem_district,North_district,Center_district,Haifa_district,TLV_district,South_district,Clinic_hours_for_1000_people,Clinic_hours_for_1000_people_bigger9
GILBOA,1736.3164,45388,0,120,94.1,38.1,0,67.3,90.6,0,5.3,0,3.4,0,0.7,0,5,0,1,0,1,0,0,0,0,38.25496607,0
HAGELIL AHELION,208.8332,19440,0,11,95.1,0,0,74.7,84.9,0,12.3,0,0.6,0,2.1,0,7,0,1,0,1,0,0,0,0,10.74244856,0
HAGELIL AHTAHTON,128.5831,12795,0,47,97.4,0,0,60.6,81.5,0,9.2,0,3.9,0,5.4,0,7,0,1,0,1,0,0,0,0,10.04948027,0
HOD HASHARON,1137.4825,65363,0,104,97.7,0,0,73.3,45.9,0,42.4,0,9.3,0,2.3,0,9,0,0,0,0,1,0,0,0,17.40254425,0
HAARAVA HATIHONA,83,3772,0,0,94.4,0,0,62.7,93.9,0,4.8,0,0.8,0,0.4,0,7,0,1,0,0,0,0,0,1,22.00424178,0
HAR ADAR,42.8333,4108,0,42,97.2,0,0,71.3,35.4,0,26.3,0,35.4,0,2.9,0,9,0,0,0,0,1,0,0,0,10.42680136,0
HAR HEVRON,35.5498,10079,0,4,99.5,0,0,46.7,31.8,0,24.2,0,20.7,0,23.3,0,5,0,1,0,0,0,0,0,1,3.527115785,1
HERZELIYYA,1721.0819,103318,0,109,95.1,0,0,81.3,37.5,0,47.5,0,11.6,0,3.5,0,8,0,0,0,0,0,0,1,0,16.65810314,0
ZVULON,118.3333,13755,0,23,95.7,31.6,0,69.2,74.2,0,22.1,0,1.9,0,1.8,0,5,0,1,0,0,0,1,0,0,8.602929844,1
ZIKHRON YA'AQOV,565.3328,23857,0,57,96.2,0,0,70.6,41.5,0,46.8,0,10.4,0,1.3,0,8,0,0,0,0,0,1,0,0,23.69672633,0
ZEMER,135.5,7360,0,76,0,99.9,0,63.7,58.2,0,1.6,0,12.2,0,28,0,4,0,1,0,0,1,0,0,0,18.41032609,0
ZARZIR,202,8412,0,72,0,99.7,0,60.4,79.3,0,2.8,0,17,0,0.8,0,2,0,1,0,1,0,0,0,0,24.01331431,0
HEVEL EILOT,5,4745,0,1,93.7,0,0,66.6,80.6,0,16.5,0,1.3,0,1.6,0,5,0,1,0,0,0,0,0,1,1.05374078,1
HEVEL YAVNE,32.25,6920,0,38,99.5,0,0,57.2,60.2,0,24.7,0,10,0,5.1,0,5,0,1,0,0,1,0,0,0,4.660404624,1
HEVEL MODI'IN,61.5,24107,0,59,98.8,0,0,65.2,57.3,0,31.4,0,7.4,0,4,0,7,0,0,0,0,1,0,0,0,2.551126229,1
HADERA,1539.7986,100631,0,77,92.3,0,0,76.3,53.7,0,15.2,0,21,0,10.1,0,6,0,0,0,0,0,1,0,0,15.30143395,0
HOLON,3065.2652,197464,0,122,91.4,0,0,79.5,37.8,0,51.5,0,5.4,0,5.3,0,7,0,0,0,0,0,0,1,0,15.52315966,0
HOF ASHQELON,152.25,19295,0,45,97.7,0,0,63.1,67.4,0,20.1,0,6.5,0,6,0,7,0,1,0,0,0,0,0,1,7.890645245,1
HOF HAKARMEL,340.1666,35553,0,40,96.3,0,0,68,62.5,0,29.9,0,5.3,0,2.3,0,7,0,0,0,0,0,1,0,0,9.567873316,0
HOF HASHARON,135.7832,14872,0,56,95.8,0,0,76.3,61.9,0,31.5,0,5,0,1.7,0,9,0,0,0,0,1,0,0,0,9.130123722,0
HURA,538.5,23943,0,37,0,99.9,0,41.4,83.3,0,0.3,0,4.6,0,11.8,0,1,0,1,0,0,0,0,0,1,22.49091593,0
HURFEISH,103.5,6581,0,46,0,100,0,68.3,66.8,0,2,0,11.7,0,19.6,0,5,0,1,0,1,0,0,0,0,15.72709315,0
HAIFA,5404.2316,282832,0,86,85.3,12.2,0,84.3,48.7,0,38.2,0,9.5,0,3.6,0,7,0,0,0,0,0,1,0,0,19.10756774,0
HAZOR HAGELILIT,405.75,9764,0,73,97.6,0,0,67.1,60.8,0,25.6,0,0.5,0,13.1,0,4,0,1,0,1,0,0,0,0,41.55571487,0
HARISH,422,27006,0,71,91.9,0,0,53.5,49.7,0,28.7,0,13.2,0,8.4,0,5,0,1,0,0,0,1,0,0,15.62615715,0
TIBERIAS,979.5499,46698,0,64,93.9,0,0,70.8,72.8,0,8.2,0,8.6,0,10.5,0,4,0,1,0,1,0,0,0,0,20.97627093,0
TUBA-ZANGARIYYE,146.3332,7011,0,40,0,99.9,0,62.8,83,0,0.1,0,0.3,0,16.5,0,3,0,1,0,1,0,0,0,0,20.87194409,0
TUR'AN,302.5,14655,0,69,0,100,0,63.5,65.6,0,32.5,0,1.8,0,0.1,0,3,0,1,0,1,0,0,0,0,20.64141931,0
